"label","left_0_x","left_0_y","left_1_x","left_1_y","left_2_x","left_2_y","left_3_x","left_3_y","left_4_x","left_4_y","left_5_x","left_5_y","left_6_x","left_6_y","left_7_x","left_7_y","left_8_x","left_8_y","left_9_x","left_9_y","left_10_x","left_10_y","left_11_x","left_11_y","left_12_x","left_12_y","left_13_x","left_13_y","left_14_x","left_14_y","left_15_x","left_15_y","left_16_x","left_16_y","left_17_x","left_17_y","left_18_x","left_18_y","left_19_x","left_19_y","left_20_x","left_20_y","right_0_x","right_0_y","right_1_x","right_1_y","right_2_x","right_2_y","right_3_x","right_3_y","right_4_x","right_4_y","right_5_x","right_5_y","right_6_x","right_6_y","right_7_x","right_7_y","right_8_x","right_8_y","right_9_x","right_9_y","right_10_x","right_10_y","right_11_x","right_11_y","right_12_x","right_12_y","right_13_x","right_13_y","right_14_x","right_14_y","right_15_x","right_15_y","right_16_x","right_16_y","right_17_x","right_17_y","right_18_x","right_18_y","right_19_x","right_19_y","right_20_x","right_20_y","left_roll","left_pitch","left_yaw","right_roll","right_pitch","right_yaw","capture_mode","hand_presence","left_points_visible","right_points_visible","left_fallback_used","right_fallback_used","curation_action","timestamp_unix_ms"
"h","0.366466","0.637597","0.357474","0.58365","0.336192","0.556566","0.314498","0.560689","0.308027","0.587556","0.301714","0.56504","0.276671","0.558151","0.261259","0.556169","0.246714","0.556126","0.298203","0.588168","0.272112","0.578385","0.253236","0.570782","0.237598","0.566034","0.301376","0.611283","0.284492","0.609767","0.304273","0.605132","0.319431","0.603405","0.30931","0.636912","0.28992","0.631899","0.302828","0.623021","0.317993","0.617493","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-94.687592","-3.295852","31.594543","-87.809059","422.919739","-834.414124","static","left_only","21","0","0","0","keep","1.77E+12"
"h","0.397177","0.624256","0.38515","0.576953","0.363446","0.55455","0.343376","0.563207","0.338435","0.588899","0.330613","0.567266","0.305479","0.562957","0.290647","0.563521","0.276356","0.566031","0.32764","0.59006","0.301224","0.584231","0.283071","0.579935","0.267801","0.577487","0.331091","0.612669","0.314969","0.610921","0.3337","0.604213","0.34814","0.602246","0.339236","0.636618","0.319995","0.633003","0.330747","0.621969","0.344527","0.615438","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-95.402184","2.05564","8.098091","-95.310059","452.319733","-864.18811","static","left_only","21","0","0","0","keep","1.77E+12"
"h","0.397996","0.652564","0.386424","0.599022","0.358651","0.567573","0.337186","0.578251","0.324747","0.596058","0.315508","0.571284","0.283474","0.56034","0.262469","0.557282","0.243858","0.556892","0.31078","0.603175","0.276462","0.591482","0.252297","0.583686","0.231887","0.578729","0.31273","0.637025","0.294763","0.629412","0.317067","0.62172","0.335736","0.620272","0.318434","0.672183","0.29706","0.667596","0.310199","0.65314","0.327707","0.643411","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-96.888023","0.194945","-24.396381","-97.907059","472.976746","-873.401123","static","left_only","21","0","0","0","keep","1.77E+12"
"i","0.357314","0.612813","0.381561","0.589883","0.392861","0.551173","0.382834","0.516652","0.370983","0.499173","0.388768","0.51585","0.391299","0.479132","0.387242","0.500465","0.384095","0.525568","0.372995","0.511679","0.372525","0.483298","0.369646","0.516388","0.368267","0.544297","0.358465","0.509426","0.357544","0.481722","0.358379","0.51673","0.359131","0.547644","0.344032","0.509513","0.345835","0.472839","0.346135","0.448585","0.346688","0.425087","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","178.651398","-67.969223","-213.73201","-105.04306","465.998718","-916.837097","static","left_only","21","0","0","0","keep","1.77E+12"
"i","0.37654","0.689344","0.415462","0.646867","0.433768","0.592204","0.417505","0.538489","0.392969","0.509125","0.42287","0.532861","0.430005","0.488926","0.426623","0.526541","0.421315","0.562646","0.396463","0.532274","0.398956","0.495618","0.398533","0.554233","0.395879","0.595649","0.37269","0.530904","0.375657","0.50019","0.381658","0.557217","0.383183","0.603692","0.349149","0.529273","0.352851","0.470687","0.353799","0.430439","0.354344","0.390969","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-61.345348","-71.802147","-124.230629","-106.448059","495.585724","-906.666138","static","left_only","21","0","0","0","keep","1.77E+12"
"i","0.361151","0.59825","0.37921","0.575006","0.388672","0.540493","0.38092","0.511329","0.370899","0.496024","0.380906","0.517097","0.38376","0.488604","0.384768","0.491424","0.384519","0.504705","0.368267","0.514964","0.367798","0.492034","0.369656","0.514108","0.370772","0.536949","0.356267","0.514602","0.355858","0.491485","0.359645","0.516292","0.36239","0.540193","0.343832","0.516776","0.344179","0.487871","0.343998","0.468018","0.34412","0.448545","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-165.936722","-55.899525","-80.297867","-107.71106","515.802734","-932.177124","static","left_only","21","0","0","0","keep","1.77E+12"
"k","0.272142","0.620386","0.299442","0.582318","0.310881","0.527573","0.301199","0.477388","0.299015","0.436397","0.305935","0.494082","0.315543","0.439372","0.320525","0.403832","0.326469","0.37349","0.286285","0.489636","0.286921","0.42724","0.287334","0.383483","0.289189","0.349069","0.266878","0.496118","0.26371","0.467904","0.26672","0.510401","0.268461","0.545491","0.247243","0.507786","0.246982","0.475675","0.251488","0.50145","0.252914","0.526343","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-163.786011","-59.493359","495.878235","-13.010941","101.634605","-128.287262","static","left_only","21","0","0","0","keep","1.77E+12"
"l","0.29086","0.565663","0.321527","0.546278","0.349433","0.50607","0.372917","0.474842","0.393375","0.458749","0.334375","0.439334","0.341972","0.377681","0.344726","0.338069","0.346719","0.30482","0.313277","0.435812","0.311689","0.403526","0.30761","0.455314","0.305499","0.495863","0.291941","0.440468","0.289042","0.41426","0.290137","0.464842","0.291525","0.500843","0.271575","0.450904","0.269242","0.419343","0.273099","0.451737","0.276043","0.478135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168.532883","-71.325996","493.538513","-17.31794","130.851593","-164.621262","static","left_only","21","0","0","0","keep","1.77E+12"
"k","0.296795","0.60702","0.3236","0.575218","0.338287","0.525007","0.330884","0.476691","0.326878","0.437752","0.331476","0.479437","0.344602","0.426663","0.352606","0.39096","0.360844","0.361059","0.310582","0.474169","0.31092","0.410389","0.311064","0.364453","0.312765","0.329723","0.290168","0.482013","0.288274","0.460021","0.292264","0.504616","0.295539","0.54079","0.270341","0.496052","0.268374","0.464575","0.272493","0.490799","0.27472","0.516697","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-113.609474","-69.340401","501.055725","-23.35294","166.441589","-215.231262","static","left_only","21","0","0","0","keep","1.77E+12"
"l","0.286458","0.593622","0.316875","0.572305","0.34514","0.533475","0.369196","0.502481","0.38606","0.482469","0.326752","0.467848","0.334526","0.406245","0.337446","0.367696","0.33982","0.334347","0.305768","0.465691","0.30316","0.437412","0.300118","0.487898","0.299503","0.527837","0.285488","0.471588","0.28166","0.446417","0.283464","0.494948","0.285886","0.530697","0.266185","0.48297","0.264226","0.458017","0.267935","0.490459","0.271254","0.51678","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-32.459747","-72.726166","525.196899","-27.85294","184.234589","-238.460266","static","left_only","21","0","0","0","keep","1.77E+12"
"m","0.328785","0.601717","0.35345","0.581193","0.365982","0.542599","0.356918","0.515972","0.343875","0.498338","0.369879","0.512853","0.377386","0.485957","0.373825","0.50443","0.368472","0.528204","0.354584","0.503241","0.362559","0.471438","0.359252","0.499957","0.354731","0.527894","0.338138","0.501812","0.345238","0.464496","0.344544","0.49892","0.3416","0.527151","0.320633","0.510114","0.327892","0.495018","0.32898","0.523456","0.327501","0.546136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171.718979","-49.727428","492.989014","-38.10894","235.5466","-305.492279","static","left_only","21","0","0","0","keep","1.77E+12"
"m","0.30312","0.585043","0.341782","0.555666","0.361314","0.498563","0.34872","0.44574","0.332316","0.408207","0.365471","0.462819","0.379866","0.417049","0.376215","0.439594","0.367991","0.473218","0.343799","0.446203","0.359811","0.394176","0.356211","0.429774","0.348389","0.470829","0.32015","0.439815","0.335559","0.376398","0.334675","0.418355","0.328193","0.45976","0.293209","0.446612","0.307417","0.417895","0.308986","0.456913","0.304557","0.493819","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166.962402","-46.577896","508.666321","-41.960941","247.659592","-318.171265","static","left_only","21","0","0","0","keep","1.77E+12"
"m","0.353351","0.6724","0.401015","0.630825","0.425587","0.548782","0.413821","0.480494","0.396331","0.42771","0.425854","0.490098","0.446037","0.423845","0.445227","0.465151","0.438764","0.51728","0.397615","0.47473","0.419666","0.395322","0.420452","0.447177","0.415011","0.504664","0.366831","0.469871","0.384307","0.375482","0.389662","0.432583","0.387314","0.488538","0.333311","0.480012","0.351891","0.436614","0.358236","0.486589","0.355562","0.53408","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176.665573","-57.52039","577.603149","-48.769939","261.831604","-333.799255","static","left_only","21","0","0","0","keep","1.77E+12"
"n","0.311732","0.617856","0.345112","0.58385","0.36153","0.543484","0.362755","0.500529","0.357885","0.46886","0.367125","0.508611","0.375673","0.468004","0.368957","0.485859","0.361767","0.513648","0.349102","0.497108","0.358744","0.449928","0.353566","0.476203","0.347963","0.508021","0.32991","0.492889","0.335441","0.452664","0.332823","0.4894","0.328625","0.52282","0.309287","0.496275","0.316481","0.463439","0.316491","0.490886","0.314352","0.519114","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","167.001053","-45.976933","437.818726","-61.786938","303.517609","-388.681274","static","left_only","21","0","0","0","keep","1.77E+12"
"n","0.325107","0.626716","0.364479","0.585174","0.381986","0.521886","0.367148","0.462055","0.351044","0.420324","0.381457","0.487215","0.392674","0.436317","0.387039","0.455704","0.378755","0.491838","0.357854","0.474652","0.369036","0.409767","0.365781","0.431698","0.360222","0.471981","0.332804","0.470936","0.335932","0.43042","0.335269","0.481805","0.333428","0.529556","0.306224","0.475269","0.312128","0.431412","0.315585","0.464064","0.31615","0.499593","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","177.748642","-56.143375","522.438171","-51.73494","277.534607","-403.695251","static","left_only","21","0","0","0","keep","1.77E+12"
"n","0.340934","0.595431","0.360934","0.56535","0.367227","0.532033","0.357837","0.503632","0.347541","0.484494","0.364528","0.512011","0.368027","0.484151","0.367679","0.493169","0.365989","0.513114","0.351592","0.508397","0.354236","0.474103","0.355339","0.485699","0.355235","0.50709","0.337992","0.510497","0.338467","0.487365","0.342056","0.513076","0.343784","0.538186","0.323818","0.518076","0.32693","0.497101","0.331613","0.51341","0.333795","0.531655","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-163.861633","-38.71468","582.611816","-58.076939","293.4776","-414.959259","static","left_only","21","0","0","0","keep","1.77E+12"
"o","0.36421","0.501362","0.40247","0.478069","0.423649","0.450311","0.440199","0.432421","0.452682","0.40834","0.388767","0.36786","0.416689","0.341385","0.437426","0.358694","0.447183","0.384205","0.383006","0.359962","0.419082","0.330749","0.440216","0.35473","0.44783","0.387063","0.382576","0.362819","0.420632","0.334234","0.440927","0.358749","0.44719","0.389297","0.387284","0.375343","0.419246","0.355116","0.435235","0.369072","0.441741","0.390974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.224289","-78.180496","553.973877","-67.419937","345.071594","-458.184265","static","left_only","21","0","0","0","keep","1.77E+12"
"o","0.358326","0.494943","0.396723","0.478582","0.421109","0.452466","0.439591","0.435876","0.453315","0.414372","0.389992","0.367241","0.417897","0.342453","0.43753","0.360109","0.445926","0.386413","0.384033","0.357208","0.420079","0.328753","0.44018","0.354392","0.446928","0.387753","0.383159","0.35716","0.421115","0.329373","0.441135","0.355334","0.447457","0.387549","0.387092","0.367048","0.41915","0.347423","0.435716","0.362436","0.442692","0.384806","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.636017","-72.81208","551.319275","-68.918945","355.960602","-472.356262","static","left_only","21","0","0","0","keep","1.77E+12"
"o","0.356063","0.445243","0.407225","0.41975","0.442253","0.383948","0.46742","0.361844","0.48185","0.331526","0.427096","0.279746","0.457696","0.236755","0.475525","0.265901","0.479678","0.301103","0.416853","0.269641","0.451573","0.217495","0.471731","0.256977","0.475202","0.302424","0.405166","0.264232","0.438952","0.208077","0.46334","0.249125","0.470615","0.296346","0.393212","0.268555","0.42598","0.234861","0.44849","0.260805","0.459526","0.295106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-25.624241","-65.66214","619.064392","-72.205933","372.530609","-495.83429","static","left_only","21","0","0","0","keep","1.77E+12"
"o","0.386056","0.471335","0.443266","0.410423","0.475147","0.345807","0.501738","0.303657","0.516402","0.26337","0.408261","0.229151","0.449929","0.163304","0.486019","0.179786","0.504721","0.217927","0.396924","0.218602","0.451858","0.14481","0.489778","0.174916","0.505655","0.230594","0.39499","0.219437","0.446563","0.14499","0.484828","0.174462","0.500879","0.222674","0.401816","0.23134","0.443686","0.169793","0.474859","0.181876","0.492237","0.213098","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-112.812828","-67.134537","625.065002","-74.813934","385.235596","-501.440247","static","left_only","21","0","0","0","keep","1.77E+12"
"o","0.344493","0.514248","0.385174","0.478742","0.413028","0.438227","0.433246","0.404858","0.440862","0.364494","0.396883","0.354809","0.416801","0.303049","0.433321","0.319776","0.439153","0.34897","0.385511","0.345966","0.407625","0.28758","0.424204","0.311253","0.428888","0.349524","0.371842","0.339038","0.392074","0.280197","0.412648","0.302243","0.421016","0.342782","0.357332","0.338607","0.377103","0.289553","0.397894","0.29815","0.411573","0.32585","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-137.787338","-75.189758","527.821655","-76.152939","395.072601","-525.525269","static","left_only","21","0","0","0","keep","1.77E+12"
"o","0.340534","0.55759","0.37023","0.532116","0.386666","0.498611","0.398008","0.47376","0.403205","0.456715","0.363925","0.440656","0.378117","0.411097","0.391992","0.424271","0.397214","0.448121","0.356163","0.434369","0.372629","0.394871","0.389296","0.408118","0.396624","0.436434","0.34947","0.433445","0.367385","0.39124","0.385583","0.401744","0.39477","0.426244","0.345198","0.439066","0.364105","0.409407","0.379544","0.412422","0.389482","0.426211","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","174.099304","-68.960869","551.296143","-88.927933","456.762604","-539.409241","static","left_only","21","0","0","0","keep","1.77E+12"
"o","0.380229","0.54737","0.42673","0.505158","0.453689","0.461753","0.472673","0.432271","0.48166","0.396289","0.412568","0.367255","0.437929","0.314818","0.464301","0.330023","0.47774","0.359987","0.402871","0.365409","0.436271","0.303289","0.46428","0.325751","0.475803","0.364931","0.397666","0.371085","0.431435","0.312044","0.46076","0.332764","0.473876","0.368126","0.397974","0.387427","0.429764","0.345662","0.454079","0.352813","0.467924","0.373466","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-96.546379","-72.515205","587.26416","-98.183945","478.903595","-551.307251","static","left_only","21","0","0","0","keep","1.77E+12"
"p","0.406682","0.553781","0.388823","0.525258","0.364909","0.505417","0.340671","0.498722","0.321025","0.493572","0.355384","0.470562","0.324471","0.461494","0.30605","0.455601","0.290057","0.448945","0.354788","0.489361","0.329761","0.506879","0.315438","0.529799","0.306029","0.550544","0.356648","0.510368","0.340062","0.531044","0.351777","0.547111","0.362353","0.553236","0.359276","0.52862","0.345555","0.542681","0.355148","0.55343","0.365544","0.555009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-18.710112","-29.059019","710.089905","-114.181946","570.313599","-543.292236","static","left_only","21","0","0","0","keep","1.77E+12"
"p","0.443634","0.478349","0.409605","0.452272","0.371608","0.420427","0.337851","0.400899","0.310224","0.384136","0.358475","0.364236","0.312984","0.346512","0.286818","0.335341","0.264303","0.322077","0.361717","0.385038","0.321416","0.416304","0.298376","0.44969","0.282796","0.476911","0.367385","0.41137","0.339415","0.44927","0.356122","0.479593","0.372523","0.494156","0.370884","0.436127","0.346846","0.459704","0.361753","0.482112","0.378636","0.492081","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-13.19454","-23.352253","650.408508","-119.558945","623.719604","-595.353271","static","left_only","21","0","0","0","keep","1.77E+12"
"p","0.403581","0.610379","0.387052","0.583021","0.366666","0.56328","0.346416","0.553932","0.330584","0.544895","0.361555","0.533292","0.333635","0.522731","0.318077","0.51696","0.304983","0.50972","0.360885","0.55226","0.337606","0.564155","0.323614","0.582703","0.315401","0.600213","0.361606","0.571017","0.346828","0.579474","0.348378","0.596209","0.351709","0.609262","0.36278","0.586211","0.351619","0.592544","0.355144","0.603539","0.36027","0.612185","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-28.073471","-29.636009","623.161438","-128.92894","661.19458","-600.589294","static","left_only","21","0","0","0","keep","1.77E+12"
"q","0.382576","0.492086","0.362841","0.533983","0.343101","0.578477","0.335099","0.625034","0.33234","0.667949","0.285636","0.529605","0.270516","0.614947","0.270741","0.671094","0.272265","0.706841","0.290622","0.509462","0.29158","0.612801","0.315057","0.642138","0.333175","0.6453","0.300665","0.503751","0.30557","0.599074","0.324835","0.624172","0.337785","0.622502","0.31016","0.501568","0.315018","0.575335","0.32828","0.599238","0.338289","0.597521","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.85956","29.77706","666.108276","-142.522934","746.668579","-613.257263","static","left_only","21","0","0","0","keep","1.77E+12"
"q","0.463971","0.459965","0.447934","0.504513","0.430884","0.537133","0.42157","0.561404","0.41655","0.578608","0.388249","0.492132","0.384858","0.556282","0.38187","0.593864","0.377016","0.615693","0.393705","0.467206","0.401173","0.540373","0.415427","0.547806","0.425237","0.538896","0.404012","0.456556","0.410901","0.523885","0.424619","0.531241","0.433196","0.51947","0.415305","0.450669","0.419258","0.505561","0.430043","0.516474","0.438319","0.511846","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.427983","35.476372","571.218689","-154.533936","793.882568","-624.144287","static","left_only","21","0","0","0","keep","1.77E+12"
"q","0.427706","0.415791","0.42482","0.451653","0.415364","0.499372","0.413327","0.555183","0.416281","0.599908","0.358867","0.474217","0.337731","0.542383","0.340434","0.56965","0.342108","0.579942","0.354688","0.467297","0.352829","0.54636","0.377621","0.550841","0.389991","0.535239","0.356788","0.468438","0.357495","0.536292","0.377733","0.540581","0.386479","0.526619","0.359371","0.477228","0.354925","0.525158","0.364497","0.539227","0.369387","0.534934","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.027598","32.800468","606.295837","-155.564941","804.093567","-637.348267","static","left_only","21","0","0","0","keep","1.77E+12"
"q","0.464939","0.464855","0.451693","0.485811","0.437133","0.51782","0.435552","0.556848","0.44052","0.588304","0.391183","0.489774","0.385499","0.557122","0.386767","0.59788","0.387642","0.627166","0.392562","0.490277","0.398157","0.558793","0.412545","0.561846","0.422212","0.553825","0.399541","0.497502","0.406167","0.55658","0.418808","0.558771","0.426656","0.553214","0.406783","0.505679","0.412395","0.548477","0.421107","0.554929","0.42676","0.554803","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.704179","37.075207","599.34845","-186.495941","843.255615","-613.310242","static","left_only","21","0","0","0","keep","1.77E+12"
